Espece;Origine;Taux_calcif;Saturation_CaCO3;Temperature;Concentration_Phosphates;Concentration_Nitrates;Concentration_Silicium;Irradiance;Courant;pH
1;1;0,45;95;23;1;5;9;100;0;7,2
1;2;0,46;97;22,9;0,1;5;9;100;0;8
1;2;0,5;98;23;1;5;8;100;0;7,2
1;2;0,54;96;23,1;0,1;5;7;100;0;8
2;1;0,56;92;23;0,1;5;10;100;0;7,2
2;1;0,6;88;23,1;1;5;10;100;0;7,2
1;2;0,61;114;23,2;1;5;7;100;0;7,2
3;1;0,63;154;23,3;1;5;7;100;0;8
2;2;0,65;160;23,5;1;5;8;100;0;8
3;2;0,69;110;23,6;0,1;5;8;100;0;7,2
2;1;0,69;123;23,5;1;5;9;100;0;8
2;1;0,71;99;23,6;1;5;10;100;0;7,2
1;2;0,72;105;23,8;0,1;5;9;100;0;7,2
1;2;0,74;110;23,6;1;5;8;100;0;8
1;2;0,74;124;23,9;1;5;7;100;0;8
2;1;0,76;135;23,7;0,1;5;10;100;0;8
3;1;0,79;141;24,2;0,9;5;9;100;0;7,2
2;2;0,8;178;24,3;0,1;5;8;100;0;7,2
1;1;0,82;98;24,1;0,9;5;7;100;0;8
1;2;0,84;192;24,3;0,9;0,5;10;100;0;7,2
1;2;0,85;184;24,2;0,1;0,5;7;100;0;8
1;1;0,89;156;24,4;0,1;5;8;100;0;7,2
2;2;0,92;147;24,5;0,9;5;9;100;0;8
2;1;0,95;200;24,5;0,9;0,5;10;100;0;8
1;1;0,99;152;24,8;0,1;5;9;100;0;7,2
2;1;1;195;24,6;0,8;0,5;9;300;0;7,2
1;2;1;230;24,7;0,2;5;8;100;0;8
2;2;1;172;24,9;0,2;5;7;300;0;7,2
2;1;1,05;260;24,8;0,8;0,5;10;100;0;7,2
1;2;1,08;305;25,2;0,8;0,5;10;300;0;7,2
1;1;1,08;285;25,3;0,2;0,5;7;300;0;8
2;2;1,11;220;25,4;0,7;0,5;7;100;0;8
2;2;1,15;183;25,2;0,2;0,5;8;300;0;7,2
2;2;1,16;190;25,4;0,8;0,5;8;100;0;7,2
1;1;1,17;293;25,3;0,8;0,5;9;100;0;8
2;2;1,19;205;25,1;0,7;0,5;10;300;0;7,2
2;1;1,21;240;25,2;0,2;0,5;9;300;1;7,2
1;1;1,22;195;25,4;0,8;0,5;8;300;0;7,2
3;1;1,25;262;25,5;0,2;0,5;7;300;0;8
3;1;1,26;241;25,7;0,2;0,5;10;300;1;7,2
2;2;1,28;246;26,1;0,8;0,5;9;300;0;8
2;2;1,3;274;25,2;0,8;0,5;8;300;0;8
2;1;1,35;228;25,3;0,2;0,5;7;300;1;7,2
1;2;1,38;293;25,7;0,8;1;10;300;1;8
1;1;1,38;305;26,1;0,7;1;7;300;0;7,2
2;2;1,41;275;26,2;0,7;0,5;8;300;0;7,2
3;2;1,42;253;26,3;0,7;1;9;300;0;7,2
1;1;1,46;248;26;0,7;0,5;10;300;1;8
2;1;1,48;251;26,8;0,2;1;9;300;0;7,2
2;2;1,5;264;26,5;0,2;1;9;300;1;8
2;2;1,51;279;26,3;0,7;0,5;8;300;1;8
1;2;1,53;195;25,9;0,8;1;7;300;0;8
1;2;1,53;390;26,4;0,7;1;10;300;0;8
2;1;1,55;251;25,5;0,7;1;10;300;1;7,2
3;1;1,56;390;26;0,6;1;7;600;1;8
2;1;1,56;320;26,2;0,6;1;7;300;0;7,2
3;2;1,57;280;26,4;0,3;1;8;300;1;7,2
2;1;1,6;291;26,5;0,3;1;8;300;1;8
2;1;1,6;304;25,1;0,6;1;9;600;1;7,2
2;2;1,61;314;26,8;0,3;1;10;300;1;8
2;2;1,63;287;27;0,6;1;9;300;0;7,2
1;2;1,64;195;26,7;0,6;1;8;600;1;7,2
2;1;1,65;284;26,5;0,3;1;7;300;1;7,2
2;2;1,65;263;25,5;0,3;1;10;300;1;7,2
2;1;1,7;330;26,6;0,4;1,5;9;600;1;8
2;1;1,7;302;26,3;0,3;1;8;600;1;7,2
2;2;1,71;296;26,3;0,6;1,5;7;600;1;7,2
2;1;1,72;302;26,5;0,3;1,5;10;600;1;8
2;1;1,73;324;26,3;0,3;1;7;600;1;8
2;2;1,75;347;25,5;0,6;1;8;600;1;7,2
2;2;1,76;341;27,1;0,6;1,5;9;600;1;8
2;2;1,81;299;27;0,3;1;10;600;1;7,2
3;1;1,81;215;27;0,4;1,5;9;600;1;8
2;2;1,82;324;26,8;0,4;1;9;600;1;8
1;1;1,82;410;26,8;0,3;1,5;8;600;1;8
2;2;1,83;356;26,5;0,6;1,5;7;600;1;7,2
1;1;1,84;230;26,7;0,4;1,5;10;600;1;7,2
3;2;1,88;352;26,5;0,6;1,5;10;600;1;8
2;1;1,91;365;26,5;0,4;1,5;7;600;1;7,2
1;1;1,91;293;26,4;0,4;1,5;7;600;1;7,2
1;2;1,91;390;26,8;0,6;1,5;8;600;1;7,2
1;2;1,93;325;26,9;0,4;1;8;600;1;8
3;2;1,93;330;26,4;0,5;1,5;9;600;1;7,2
3;1;1,94;293;26,7;0,4;1;10;600;1;8
3;2;1,94;374;26,9;0,5;1;9;600;1;8
2;2;1,95;339;27,1;0,5;1,5;8;600;1;8
2;1;1,96;357;27;0,4;1,5;7;600;1;7,2
2;1;1,99;338;26,9;0,5;1,5;10;600;1;7,2
2;1;2;304;27,1;0,5;1,5;9;600;1;8
2;2;2,05;415;27,1;0,4;1,5;8;600;1;7,2
3;1;2,06;407;26,9;0,5;1,5;7;600;1;7,2
1;2;2,09;408;26,8;0,5;1,5;10;600;1;8
1;1;2,1;420;27,2;0,5;1,5;7;600;1;8
1;2;2,12;380;27;0,5;1,5;8;600;1;7,2
1;2;2,12;430;27,1;0,5;1,5;9;600;1;7,2
